trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 1, 'e': 0.7899922314973651}",20,0,-38.40658488357595,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 1, 'e': 0.7838216658808492}",25,0,-67.48357463941889,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 1, 'e': 0.7775727187509279}",25,0,3.1931064616035534,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 1, 'e': 0.7712460149971065}",20,4,-109.03210498103347,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 2}",1
70,False,"{'a': 1, 'e': 0.7648421872844884}",30,10,-26.993445726126417,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 1, 'e': 0.7583618759905082}",20,0,-99.53186762473234,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
72,False,"{'a': 1, 'e': 0.751805729140895}",20,0,-52.95805382133114,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
73,False,"{'a': 1, 'e': 0.7451744023448704}",20,0,-84.32301377133875,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 1, 'e': 0.7384685587295879}",20,0,-86.91349592101622,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 1, 'e': 0.7316888688738209}",25,0,-93.3503762464268,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
76,False,"{'a': 1, 'e': 0.7248360107409052}",30,0,-111.36239281453207,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
77,False,"{'a': 1, 'e': 0.7179106696109434}",25,0,-49.09492164410129,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
78,False,"{'a': 1, 'e': 0.7109135380122773}",25,0,-143.4114951101823,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
79,False,"{'a': 1, 'e': 0.7038453156522362}",25,0,-93.38987081799675,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 1, 'e': 0.6967067093471655}",20,0,-88.3859504805913,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
81,False,"{'a': 1, 'e': 0.6894984329517471}",25,0,-147.1463199883166,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
82,False,"{'a': 1, 'e': 0.6822212072876136}",35,0,-85.96106976386211,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
83,False,"{'a': 1, 'e': 0.6748757600712672}",25,10,-18.37681614595582,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
84,False,"{'a': 1, 'e': 0.6674628258413082}",25,0,-41.49319963376476,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
85,False,"{'a': 1, 'e': 0.6599831458849822}",25,0,-55.58871961905001,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 1, 'e': 0.6524374681640519}",25,0,-89.9855296377772,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
87,False,"{'a': 1, 'e': 0.6448265472400012}",30,10,-31.996271989939462,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 1, 'e': 0.6371511441985802}",25,0,-78.56535457238355,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
89,False,"{'a': 1, 'e': 0.6294120265736969}",25,9,-32.8942494333058,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
